context,question,answers
Unauthorized login attempt detected,What is the main issue reported?,"{'text': ' ""unauthorized access detected', 'answer_start': -1}"
"Security breach, unauthorized access to accounts",What is the main issue reported?,"{'text': ' ""unauthorized access detected', 'answer_start': -1}"
Suspicious login from unrecognized location,What is the main issue reported?,"{'text': ' ""unauthorized access detected', 'answer_start': -1}"
Alert for possible unauthorized system access,What is the main issue reported?,"{'text': ' ""unauthorized access detected', 'answer_start': -1}"
Wi-Fi connection drops every few minutes,What is the main issue reported?,"{'text': ' ""Wi-Fi keeps dropping', 'answer_start': -1}"
Router frequently disconnects devices,What is the main issue reported?,"{'text': ' ""Wi-Fi keeps dropping', 'answer_start': -1}"
Unstable Wi-Fi connection in conference room,What is the main issue reported?,"{'text': ' ""Wi-Fi keeps dropping', 'answer_start': -1}"
Frequent Wi-Fi disconnections on all devices,What is the main issue reported?,"{'text': ' ""Wi-Fi keeps dropping', 'answer_start': -1}"
Router configuration errors after reset,What is the main issue reported?,"{'text': ' ""router setup issues', 'answer_start': -1}"
"New router setup, internet not working",What is the main issue reported?,"{'text': ' ""router setup issues', 'answer_start': -1}"
Cannot connect devices to newly installed router,What is the main issue reported?,"{'text': ' ""router setup issues', 'answer_start': -1}"
Router not assigning IP addresses,What is the main issue reported?,"{'text': ' ""router setup issues', 'answer_start': -1}"
"Computer fails to start, no power light",What is the main issue reported?,"{'text': ' ""computer won\'t boot up', 'answer_start': -1}"
"System does not boot, black screen",What is the main issue reported?,"{'text': ' ""computer won\'t boot up', 'answer_start': -1}"
No response from PC on power button press,What is the main issue reported?,"{'text': ' ""computer won\'t boot up', 'answer_start': -1}"
"Boot error, system asking for system disk",What is the main issue reported?,"{'text': ' ""computer won\'t boot up', 'answer_start': -1}"
File corruption error when opening documents,What is the main issue reported?,"{'text': ' ""corrupted files', 'answer_start': -1}"
"Corrupted USB drive, files not accessible",What is the main issue reported?,"{'text': ' ""corrupted files', 'answer_start': -1}"
Video files corrupted after system crash,What is the main issue reported?,"{'text': ' ""corrupted files', 'answer_start': -1}"
Corruption detected in downloaded files,What is the main issue reported?,"{'text': ' ""corrupted files', 'answer_start': -1}"
Smartphone battery drains within hours,What is the main issue reported?,"{'text': ' ""low battery life on device', 'answer_start': -1}"
Laptop battery not holding charge,What is the main issue reported?,"{'text': ' ""low battery life on device', 'answer_start': -1}"
Tablet needs frequent recharging,What is the main issue reported?,"{'text': ' ""low battery life on device', 'answer_start': -1}"
Excessive battery drain on new device,What is the main issue reported?,"{'text': ' ""low battery life on device', 'answer_start': -1}"
Need to reinstall OS due to system errors,What is the main issue reported?,"{'text': ' ""software needs reinstallation', 'answer_start': -1}"
Software reinstallation required after upgrade failure,What is the main issue reported?,"{'text': ' ""software needs reinstallation', 'answer_start': -1}"
Reinstalling application to resolve performance issues,What is the main issue reported?,"{'text': ' ""software needs reinstallation', 'answer_start': -1}"
Program malfunction requires complete reinstall,What is the main issue reported?,"{'text': ' ""software needs reinstallation', 'answer_start': -1}"
Authentication app generating incorrect codes,What is the main issue reported?,"{'text': ' ""two-factor authentication failure', 'answer_start': -1}"
Time sync issues causing 2FA failures,What is the main issue reported?,"{'text': ' ""two-factor authentication failure', 'answer_start': -1}"
2FA token not working after phone update,What is the main issue reported?,"{'text': ' ""two-factor authentication failure', 'answer_start': -1}"
2FA setup issues on new device,What is the main issue reported?,"{'text': ' ""two-factor authentication failure', 'answer_start': -1}"
External HDD not recognized by laptop,What is the main issue reported?,"{'text': ' ""USB device not recognized', 'answer_start': -1}"
Flash drive not showing up on desktop,What is the main issue reported?,"{'text': ' ""USB device not recognized', 'answer_start': -1}"
USB ports not detecting any devices,What is the main issue reported?,"{'text': ' ""USB device not recognized', 'answer_start': -1}"
Printer USB connection intermittently failing,What is the main issue reported?,"{'text': ' ""USB device not recognized', 'answer_start': -1}"
Zoom audio not working in meeting,What is the main issue reported?,"{'text': ' ""zoom meeting issues', 'answer_start': -1}"
Video freezing during Zoom calls,What is the main issue reported?,"{'text': ' ""zoom meeting issues', 'answer_start': -1}"
Zoom unable to connect to server,What is the main issue reported?,"{'text': ' ""zoom meeting issues', 'answer_start': -1}"
"Echo issues in Zoom, disrupting meetings",What is the main issue reported?,"{'text': ' ""zoom meeting issues', 'answer_start': -1}"
"Email attachment not opening, says file too large",What is the main issue reported?,"{'text': ' ""email attachment issues', 'answer_start': -1}"
Attachment exceeds the allowed limit,What is the main issue reported?,"{'text': ' ""email attachment issues', 'answer_start': -1}"
Cannot send large video files via email,What is the main issue reported?,"{'text': ' ""email attachment issues', 'answer_start': -1}"
PDF attachments not downloading from email,What is the main issue reported?,"{'text': ' ""email attachment issues', 'answer_start': -1}"
Detected data breach in customer database,What is the main issue reported?,"{'text': ' ""data breach', 'answer_start': -1}"
Unauthorized data extraction from secured files,What is the main issue reported?,"{'text': ' ""data breach', 'answer_start': -1}"
Sensitive information leaked from internal documents,What is the main issue reported?,"{'text': ' ""data breach', 'answer_start': -1}"
Large-scale data breach involving personal data,What is the main issue reported?,"{'text': ' ""data breach', 'answer_start': -1}"
File sharing permissions not updating,What is the main issue reported?,"{'text': ' ""file sharing not working', 'answer_start': -1}"
Unable to access shared network folder,What is the main issue reported?,"{'text': ' ""file sharing not working', 'answer_start': -1}"
Shared drive not visible to team members,What is the main issue reported?,"{'text': ' ""file sharing not working', 'answer_start': -1}"
Problems with file sharing over the corporate network,What is the main issue reported?,"{'text': ' ""file sharing not working', 'answer_start': -1}"
Outdated network adapter causing connectivity issues,What is the main issue reported?,"{'text': ' ""outdated network drivers', 'answer_start': -1}"
Driver update needed for Wi-Fi stability,What is the main issue reported?,"{'text': ' ""outdated network drivers', 'answer_start': -1}"
Network slowdown due to old drivers,What is the main issue reported?,"{'text': ' ""outdated network drivers', 'answer_start': -1}"
"LAN connection issues, driver update recommended",What is the main issue reported?,"{'text': ' ""outdated network drivers', 'answer_start': -1}"
Cloud storage sync errors on multiple devices,What is the main issue reported?,"{'text': ' ""cloud sync problems', 'answer_start': -1}"
Files not syncing between phone and cloud,What is the main issue reported?,"{'text': ' ""cloud sync problems', 'answer_start': -1}"
Sync failure with cloud backup service,What is the main issue reported?,"{'text': ' ""cloud sync problems', 'answer_start': -1}"
Intermittent cloud connectivity affecting file access,What is the main issue reported?,"{'text': ' ""cloud sync problems', 'answer_start': -1}"
"Software license expired, application not functional",What is the main issue reported?,"{'text': ' ""application license expired', 'answer_start': -1}"
License renewal required for critical software,What is the main issue reported?,"{'text': ' ""application license expired', 'answer_start': -1}"
Expired software license blocking access to features,What is the main issue reported?,"{'text': ' ""application license expired', 'answer_start': -1}"
Software license issues after company merger,What is the main issue reported?,"{'text': ' ""application license expired', 'answer_start': -1}"
Unknown error codes when launching the application,What is the main issue reported?,"{'text': ' ""error codes on software', 'answer_start': -1}"
Software crashes with error code 0x80004005,What is the main issue reported?,"{'text': ' ""error codes on software', 'answer_start': -1}"
Error code seen during software update process,What is the main issue reported?,"{'text': ' ""error codes on software', 'answer_start': -1}"
Frequent error messages disrupting workflow,What is the main issue reported?,"{'text': ' ""error codes on software', 'answer_start': -1}"
User lacks permissions to access certain files,What is the main issue reported?,"{'text': ' ""insufficient user permissions', 'answer_start': -1}"
Access denied due to insufficient user rights,What is the main issue reported?,"{'text': ' ""insufficient user permissions', 'answer_start': -1}"
Permission error when trying to install software,What is the main issue reported?,"{'text': ' ""insufficient user permissions', 'answer_start': -1}"
Request for elevated permissions to complete task,What is the main issue reported?,"{'text': ' ""insufficient user permissions', 'answer_start': -1}"
